Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
9/20/2017,10:21:51,0.055,0.064,0.041,0.078,0.075,0.054,0.073,0.063,0.051,0.045,0.045,0.056,0.068,0.029,0.059,0
9/20/2017,10:41:51,0.055,0.064,0.041,0.078,0.075,0.054,0.073,0.063,0.051,0.045,0.045,0.056,0.068,0.029,0.059,0
9/20/2017,11:01:51,0.055,0.064,0.041,0.078,0.074,0.054,0.073,0.063,0.051,0.045,0.045,0.056,0.068,0.029,0.059,0
9/20/2017,11:21:51,0.055,0.064,0.04,0.078,0.074,0.054,0.072,0.063,0.051,0.045,0.045,0.056,0.068,0.029,0.059,0
9/20/2017,11:41:51,0.055,0.064,0.04,0.078,0.074,0.054,0.072,0.063,0.051,0.045,0.045,0.055,0.068,0.028,0.058,0
9/20/2017,12:01:51,0.055,0.064,0.04,0.078,0.074,0.054,0.072,0.063,0.051,0.045,0.045,0.055,0.068,0.027,0.058,0
9/20/2017,12:21:51,0.054,0.064,0.04,0.078,0.073,0.054,0.071,0.063,0.051,0.045,0.045,0.054,0.069,0.027,0.058,0
9/20/2017,12:41:51,0.054,0.064,0.04,0.078,0.073,0.054,0.071,0.063,0.05,0.045,0.045,0.054,0.068,0.027,0.057,0
9/20/2017,13:01:51,0.054,0.064,0.04,0.078,0.073,0.054,0.071,0.063,0.05,0.045,0.045,0.054,0.069,0.027,0.057,0
9/20/2017,13:21:51,0.054,0.064,0.04,0.078,0.073,0.054,0.071,0.063,0.05,0.045,0.045,0.054,0.068,0.027,0.057,0
9/20/2017,13:41:51,0.054,0.064,0.04,0.078,0.073,0.054,0.071,0.063,0.05,0.045,0.045,0.054,0.068,0.027,0.057,0
9/20/2017,14:01:51,0.054,0.064,0.04,0.078,0.073,0.053,0.071,0.063,0.05,0.045,0.045,0.054,0.068,0.026,0.057,0
9/20/2017,14:21:51,0.054,0.064,0.04,0.078,0.073,0.053,0.071,0.063,0.049,0.044,0.045,0.054,0.068,0.026,0.057,0
9/20/2017,14:41:51,0.054,0.064,0.04,0.078,0.072,0.053,0.071,0.063,0.049,0.044,0.045,0.054,0.068,0.026,0.057,0
9/20/2017,15:01:51,0.054,0.064,0.039,0.078,0.072,0.053,0.071,0.063,0.049,0.044,0.045,0.054,0.068,0.026,0.056,0
9/20/2017,15:21:51,0.054,0.064,0.039,0.078,0.072,0.053,0.071,0.063,0.049,0.044,0.045,0.054,0.068,0.026,0.056,0
9/20/2017,15:41:51,0.054,0.064,0.039,0.078,0.072,0.053,0.07,0.063,0.049,0.044,0.045,0.054,0.068,0.025,0.056,0
9/20/2017,16:01:51,0.054,0.064,0.039,0.077,0.071,0.053,0.07,0.063,0.049,0.043,0.045,0.053,0.068,0.025,0.056,0
9/20/2017,16:21:51,0.054,0.064,0.039,0.077,0.071,0.053,0.07,0.063,0.049,0.043,0.045,0.053,0.068,0.025,0.056,0
9/20/2017,16:41:51,0.054,0.064,0.039,0.077,0.071,0.053,0.07,0.063,0.049,0.043,0.045,0.053,0.068,0.025,0.056,0
9/20/2017,17:01:51,0.054,0.064,0.038,0.077,0.071,0.053,0.07,0.063,0.049,0.043,0.045,0.053,0.068,0.024,0.056,0
9/20/2017,17:21:51,0.054,0.064,0.038,0.077,0.071,0.053,0.07,0.063,0.049,0.043,0.045,0.053,0.068,0.024,0.056,0
9/20/2017,17:41:51,0.054,0.064,0.038,0.077,0.071,0.053,0.07,0.063,0.048,0.043,0.045,0.053,0.068,0.024,0.055,0
9/20/2017,18:01:51,0.054,0.064,0.038,0.077,0.071,0.053,0.07,0.063,0.048,0.043,0.045,0.053,0.068,0.024,0.055,0
9/20/2017,18:21:51,0.054,0.064,0.038,0.077,0.071,0.053,0.07,0.063,0.048,0.043,0.045,0.053,0.068,0.024,0.055,0
9/20/2017,18:41:51,0.053,0.064,0.038,0.076,0.071,0.053,0.07,0.063,0.048,0.043,0.045,0.053,0.068,0.024,0.055,0
