mfc,cycle,cod_mg_L,delta_cod_mg_L,reduction_percent,cycle_duration,delta_cod_mg_L_day,trans_delta_cod_mg_L_day
5,3,26400,15667,0.3724296954857727,13,1205.1538461538462,-0.003656177303670176
6,3,36100,5967,0.1418451517816816,13,459,-1.4514071549797292
7,3,25900,16167,0.38431549670763304,13,1243.6153846153845,0.07097016175179655
8,3,35100,6967,0.16561675422540234,13,535.9230769230769,-1.3021544768687954
9,3,34400,7667,0.18225687593600684,13,589.7692307692307,-1.1976776021911417
10,3,34200,7867,0.187011196424751,13,605.1538461538462,-1.1678270665689547
11,3,28600,13467,0.3201321701095871,13,1035.923076923077,-0.3320120691477249
12,3,27100,14967,0.3557895737751682,13,1151.3076923076924,-0.10813305198132385
13,3,28100,13967,0.33201797133144745,13,1074.3846153846155,-0.25738573009225774
14,3,28700,13367,0.317755009865215,13,1028.2307692307693,-0.3469373369588182
15,3,31200,10867,0.2583260037559132,13,835.9230769230769,-0.720069032236153
1,4,40700,1367,0.03249578054056624,12,113.91666666666667,-2.1209671067085547
2,4,34400,7667,0.18225687593600684,12,638.9166666666666,-1.1023175786014308
3,4,25200,16867,0.40095561841823757,12,1405.5833333333333,0.38523411323754386
4,4,31300,10767,0.2559488435115411,12,897.25,-0.601077334612211
5,4,36200,5867,0.13946799153730954,12,488.9166666666667,-1.3933603009177518
6,4,38500,3567,0.08479330591675185,12,297.25,-1.7652482238774956
7,4,28900,13167,0.31300068937647085,12,1097.25,-0.2130203715237828
8,4,25700,16367,0.38906981719637723,12,1363.9166666666667,0.3043889125941216
9,4,19836.66667,22230.33333,0.5284506461121544,12,1852.5277775000002,1.2524336316003555
10,4,21920,20147,0.47892647443364156,12,1678.9166666666667,0.915578629458396
11,4,39800,2267,0.053890222739914895,12,188.91666666666666,-1.9754457455503942
12,4,34100,7967,0.18938835666912307,12,663.9166666666666,-1.0538104582153773
13,4,37900,4167,0.09905626738298429,12,347.25,-1.6682339831053885
14,4,40900,1167,0.027741460051822094,12,97.25,-2.1533051869659237
15,4,39500,2567,0.06102170347303112,12,213.91666666666666,-1.9269386251643408
1,5,23800,18267,0.4342358618394466,14,1304.7857142857142,0.18965802356672712
2,5,21500,20567,0.4889105474600043,14,1469.0714285714287,0.5084191003893649
3,5,17300,24767,0.5887512777236313,14,1769.0714285714287,1.0905045450220072
4,5,24900,17167,0.40808709915135377,14,1226.2142857142858,0.03720707378198772
5,5,26300,15767,0.3748068557301448,14,1126.2142857142858,-0.15682140776222636
6,5,20300,21767,0.5174364703924692,14,1554.7857142857142,0.6747292274272624
7,5,20600,21467,0.5103049896593529,14,1533.357142857143,0.6331516956677881
8,5,19100,22967,0.545962393324934,14,1640.5,0.8410393544651603
9,5,22100,19967,0.4746475859937718,14,1426.2142857142858,0.4252640368704159
10,5,20300,21767,0.5174364703924692,14,1554.7857142857142,0.6747292274272624
11,5,18500,23567,0.5602253547911664,14,1683.357142857143,0.9241944179841092
12,5,20800,21267,0.5055506691706088,14,1519.0714285714287,0.605433341161472
13,5,16500,25567,0.607768559678608,14,1826.2142857142858,1.2013779630472723
14,5,17880,24187,0.5749637483062733,14,1727.642857142857,1.0101213169536896
15,5,22800,19267,0.45800746428316735,14,1376.2142857142858,0.32824979609830884
