Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/1/2017,2:32:22,0.002,0.007,0.01,0.026,0.016,0.011,0.017,0.021,0.011,0.004,0.012,0.013,0.017,0.01,0.016,0
8/1/2017,2:52:22,0.002,0.007,0.01,0.027,0.016,0.011,0.016,0.022,0.01,0.004,0.012,0.013,0.016,0.01,0.016,0
8/1/2017,3:12:22,0.002,0.007,0.01,0.029,0.016,0.01,0.016,0.023,0.01,0.004,0.012,0.012,0.016,0.01,0.016,0
8/1/2017,3:32:22,0.002,0.006,0.01,0.031,0.016,0.01,0.016,0.024,0.01,0.004,0.012,0.012,0.016,0.009,0.016,0
8/1/2017,3:52:22,0.002,0.006,0.01,0.032,0.015,0.01,0.016,0.027,0.011,0.004,0.012,0.012,0.015,0.009,0.016,0
8/1/2017,4:12:22,0.002,0.006,0.01,0.034,0.015,0.01,0.015,0.027,0.01,0.004,0.012,0.012,0.015,0.009,0.015,0
8/1/2017,4:32:22,0.002,0.006,0.01,0.035,0.015,0.01,0.015,0.029,0.01,0.004,0.012,0.012,0.015,0.009,0.015,0
8/1/2017,4:52:22,0.002,0.006,0.01,0.037,0.015,0.01,0.015,0.029,0.009,0.004,0.012,0.012,0.014,0.009,0.015,0
8/1/2017,5:12:22,0.002,0.006,0.01,0.037,0.014,0.01,0.015,0.029,0.009,0.004,0.012,0.012,0.014,0.009,0.015,0
8/1/2017,5:32:22,0.002,0.006,0.01,0.038,0.014,0.01,0.015,0.031,0.009,0.004,0.012,0.012,0.013,0.009,0.015,0
8/1/2017,5:52:22,0.002,0.006,0.01,0.038,0.014,0.01,0.015,0.031,0.009,0.004,0.012,0.012,0.013,0.009,0.015,0
8/1/2017,6:12:22,0.002,0.006,0.01,0.039,0.014,0.01,0.015,0.031,0.009,0.005,0.012,0.012,0.013,0.009,0.015,0
8/1/2017,6:32:22,0.002,0.006,0.01,0.04,0.013,0.01,0.014,0.032,0.009,0.005,0.012,0.012,0.013,0.009,0.015,0
8/1/2017,6:52:22,0.002,0.006,0.01,0.04,0.013,0.01,0.014,0.031,0.009,0.005,0.011,0.012,0.013,0.008,0.014,0
8/1/2017,7:12:22,0.002,0.006,0.01,0.041,0.013,0.01,0.015,0.031,0.009,0.005,0.011,0.012,0.013,0.008,0.014,0
8/1/2017,7:32:22,0.002,0.006,0.011,0.041,0.013,0.01,0.015,0.031,0.009,0.005,0.01,0.012,0.012,0.008,0.014,0
8/1/2017,7:52:22,0.002,0.006,0.011,0.041,0.013,0.01,0.015,0.031,0.01,0.005,0.01,0.012,0.013,0.008,0.014,0
8/1/2017,8:12:22,0.002,0.006,0.011,0.042,0.013,0.01,0.014,0.031,0.01,0.005,0.01,0.012,0.013,0.008,0.014,0
