cycle,mfc,energy_J,trans_energy_J
1,1,0.0038316000000122585,-1.9701919675586286
1,10,0.02379839999957767,-1.8258332927484053
1,11,0.1992558000056306,-1.452752720414984
1,12,0.175636800006032,-1.4848208470780098
1,13,0.09927719999541296,-1.6112229501815707
1,14,0.033982799999648705,-1.7831823416059847
1,15,0.07785359999979846,-1.656912646389897
1,2,0.037212600000202656,-1.771304772768855
1,3,0.4129098000121303,-1.23227529509492
1,4,2.7035765999462456,-0.2551580520213949
1,5,0.1519902000000002,-1.519637223804785
1,6,0.1101011999999173,-1.5903831035102105
1,7,0.2442060000030324,-1.397517682306014
1,8,0.6933546000509523,-1.0313691528609494
1,9,0.21991440001875162,-1.4265277169043478
2,1,0.021771600000647595,-1.83557468448351
2,10,0.32760119999875315,-1.3093799969206152
2,11,11.49266880005598,1.1945783397277239
2,12,5.94899639999494,0.430678085680662
2,13,13.860070200636983,1.4512304811798906
2,14,2.989321800181642,-0.1793292690130574
2,15,2.7629664002452046,-0.23901549337967568
2,2,0.4487345999805257,-1.2027640794246386
2,3,11.127696600742638,1.1522668737067725
2,4,8.789971799589694,0.8591150269189188
2,5,2.674319399986416,-0.2631886399906451
2,6,1.7916786002460867,-0.5357530089371334
2,7,7.3666931996122,0.6569529347613455
2,8,11.25130380038172,1.1666887393032295
2,9,10.454780399799347,1.072016372311673
3,1,0.16674240000429563,-1.4975658255702717
3,10,8.106037199497223,0.7646354382854796
3,11,9.301409999839962,0.9269175158352512
3,12,8.41406340058893,0.8077559767016688
3,13,17.673691801726818,1.8142869877441714
3,14,7.085104799829423,0.614239157165687
3,15,9.055505400523543,0.8946043681997766
3,2,4.196002800483257,0.10030225683500807
3,3,14.199403200298548,1.4857980245525246
3,4,12.454824000597,1.3023938660843937
3,5,12.105424201115966,1.2638391923919616
3,6,4.370926200412214,0.13661522518466668
3,7,10.282774800434709,1.0510089483886713
3,8,13.154643000103533,1.3777081369761928
3,9,8.605498200282454,0.8340792944006081
4,1,4.355444400105625,0.13343687712297309
4,10,2.879111399874091,-0.20803798433104628
4,11,3.9090359997935593,0.038707220718073115
4,12,6.186273000203073,0.4706478690092367
4,13,10.48073219973594,1.0751678729463674
4,14,5.744145600125194,0.3953938896952903
4,15,5.214396600145847,0.30049503486280565
4,2,4.525290600024164,0.16794265919958032
4,3,7.253746799193323,0.6399399605811551
4,4,7.4693652000278234,0.6722830068858348
4,5,8.77118520066142,0.8565799196827142
4,6,4.075369799975306,0.07472733425898888
4,7,8.592981000430882,0.832368912221955
4,8,6.390897599980235,0.5043848668844069
4,9,4.935413399711251,0.2481788837971067
5,1,3.600582447834313,-0.030606039840019104
5,10,3.44378076819703,-0.06721269671584437
5,11,2.3407629998400807,-0.35872975778203453
5,12,4.581753304228187,0.1792410828207738
5,13,4.904803786426783,0.24233184908944172
5,14,2.224244244163856,-0.39402012716436374
5,15,4.971209864132106,0.2549891740147994
5,2,4.77177537092939,0.21666311762864715
5,3,2.9906114651821554,-0.17899711532293802
5,4,4.900800399016589,0.24156550646397423
5,5,6.842539554461837,0.5766205232321352
5,6,3.4990472430363297,-0.05419829254169459
5,7,6.170143492985517,0.4679602626410597
5,8,3.961687035858631,0.05020678062440068
5,9,5.576312973629683,0.36591892994844616
