dateTime,cycle,mfc,power_J_s
2017-07-31T14:32:22Z,1,1,2.5000000000000002e-8
2017-07-31T14:52:22Z,1,1,2.5000000000000002e-8
2017-07-31T15:12:22Z,1,1,2.5000000000000002e-8
2017-07-31T15:32:22Z,1,1,2.5000000000000002e-8
2017-07-31T15:52:22Z,1,1,1.5999999999999998e-8
2017-07-31T16:12:22Z,1,1,1.5999999999999998e-8
2017-07-31T16:32:22Z,1,1,1.5999999999999998e-8
2017-07-31T16:52:22Z,1,1,1.5999999999999998e-8
2017-07-31T17:12:22Z,1,1,1.5999999999999998e-8
2017-07-31T17:32:22Z,1,1,1.5999999999999998e-8
2017-07-31T17:52:22Z,1,1,1.5999999999999998e-8
2017-07-31T18:12:22Z,1,1,9e-9
2017-07-31T18:32:22Z,1,1,9e-9
2017-07-31T18:52:22Z,1,1,9e-9
2017-07-31T19:12:22Z,1,1,9e-9
2017-07-31T19:32:22Z,1,1,9e-9
2017-07-31T19:52:22Z,1,1,9e-9
2017-07-31T20:12:22Z,1,1,9e-9
2017-07-31T20:32:22Z,1,1,3.9999999999999994e-9
2017-07-31T20:52:22Z,1,1,3.9999999999999994e-9
2017-07-31T21:12:22Z,1,1,3.9999999999999994e-9
2017-07-31T21:32:22Z,1,1,3.9999999999999994e-9
2017-07-31T21:52:22Z,1,1,3.9999999999999994e-9
2017-07-31T22:12:22Z,1,1,3.9999999999999994e-9
2017-07-31T22:32:22Z,1,1,3.9999999999999994e-9
2017-07-31T22:52:22Z,1,1,3.9999999999999994e-9
2017-07-31T23:12:22Z,1,1,3.9999999999999994e-9
2017-07-31T23:32:22Z,1,1,3.9999999999999994e-9
2017-07-31T23:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T00:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T00:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T00:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T01:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T01:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T01:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T02:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T02:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T02:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T03:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T03:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T03:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T04:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T04:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T04:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T05:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T05:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T05:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T06:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T06:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T06:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T07:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T07:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T07:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T08:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T08:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T08:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T09:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T09:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T09:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T10:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T10:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T10:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T11:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T11:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T11:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T12:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T12:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T12:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T13:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T13:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T13:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T14:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T14:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T14:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T15:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T15:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T15:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T16:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T16:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T16:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T17:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T17:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T17:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T18:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T18:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T18:52:22Z,1,1,3.9999999999999994e-9
2017-08-01T19:12:22Z,1,1,3.9999999999999994e-9
2017-08-01T19:32:22Z,1,1,3.9999999999999994e-9
2017-08-01T19:52:22Z,1,1,9.999999999999999e-10
2017-08-01T20:12:22Z,1,1,9.999999999999999e-10
2017-08-01T20:32:22Z,1,1,9.999999999999999e-10
2017-08-01T20:52:22Z,1,1,9.999999999999999e-10
2017-08-01T21:12:22Z,1,1,9.999999999999999e-10
2017-08-01T21:32:22Z,1,1,9.999999999999999e-10
2017-08-01T21:52:22Z,1,1,9.999999999999999e-10
2017-08-01T22:12:22Z,1,1,9.999999999999999e-10
2017-08-01T22:32:22Z,1,1,9.999999999999999e-10
2017-08-01T22:52:22Z,1,1,9.999999999999999e-10
2017-08-01T23:12:22Z,1,1,9.999999999999999e-10
2017-08-01T23:32:22Z,1,1,9.999999999999999e-10
2017-08-01T23:52:22Z,1,1,9.999999999999999e-10
2017-08-02T00:12:22Z,1,1,9.999999999999999e-10
2017-08-02T00:32:22Z,1,1,9.999999999999999e-10
2017-08-02T00:52:22Z,1,1,9.999999999999999e-10
2017-08-02T01:12:22Z,1,1,9.999999999999999e-10
